Term,Estimate,SE,Model,OR,CI_low,CI_high,Category,Clean_Term
age_cat22,-0.08129835356486942,0.03940610080764744,Pooled GEE,0.9219185927096503,0.8533936823717799,0.9959458443863536,Demographics,Age (ref: 18-39): 40-64
age_cat23,-0.22663567972081738,0.056743456725239186,Pooled GEE,0.7972111695858084,0.7133002388099258,0.8909931811781258,Demographics,Age (ref: 18-39): 65+
sex1,0.19235463793771893,0.06244800134726415,Pooled GEE,1.212100297501969,1.0724615874670378,1.3699205159173289,Demographics,Sex (ref: Male): Female
race_cat3,-0.0071289651516549205,0.04297858319723362,Pooled GEE,0.9928963856429965,0.9126827056315809,1.080159869952524,Demographics,Race/Ethnicity (ref: White): Black or African American
race_cat4,-0.13358312464352518,0.0586428935751015,Pooled GEE,0.8749547356541909,0.7799517688245099,0.9815296535546979,Demographics,Race/Ethnicity (ref: White): Hispanic
rural_cat_ORH2,0.09011227473986266,0.03422905761228701,Pooled GEE,1.094297138734907,1.023290404263323,1.1702310730700993,Demographics,Rurality (ref: Urban): Rural
adi_cat2,0.01783011002301568,0.047665283662330915,Pooled GEE,1.0179900153977541,0.9271927131651708,1.1176788349769005,Demographics,ADI (ref: 1-25): 26-50
adi_cat3,-0.025929171485988757,0.04817251979915338,Pooled GEE,0.9744041027593159,0.8866124536069563,1.0708888101126242,Demographics,ADI (ref: 1-25): 51-75
adi_cat4,-0.11406376197451226,0.050521556799619866,Pooled GEE,0.8922010655671057,0.8080866280281832,0.9850710478175569,Demographics,ADI (ref: 1-25): 76-100
remote_MAUD1,0.7111209413836486,0.036581519506338214,Pooled GEE,2.036272521964908,1.89538344393767,2.187634273672427,Substance Use History,Any MAUD Use in Prior Year (ref: No)
auditc_baseline_cat_d1,-0.11067007369425068,0.05731176267932583,Pooled GEE,0.8952340614773474,0.8001139463288676,1.001662361350483,Substance Use History,AUDIT-C (ref: Unhealthy): No Use
auditc_baseline_cat_d2,-0.19980593320907142,0.05758714536597594,Pooled GEE,0.8188896569463494,0.7314863359969818,0.9167365639711372,Substance Use History,AUDIT-C (ref: Unhealthy): Low Use
auditc_baseline_cat_d4,9.801093813014401e-5,0.06167217861935718,Pooled GEE,1.000098015741359,0.8862293878194663,1.1285972399885633,Substance Use History,AUDIT-C (ref: Unhealthy): High Risk Use
auditc_baseline_cat_d5,-0.02080726642077517,0.045105526710782835,Pooled GEE,0.9794077111336621,0.8965384491661472,1.0699367835481552,Substance Use History,AUDIT-C (ref: Unhealthy): Very High Risk
CAN_quint2,-0.05781878141835386,0.06076250701795071,Pooled GEE,0.9438209698375939,0.8378524272230158,1.0631920301975417,Medical Complexity,VA CAN Score (ref: Q1): Quintile 2
CAN_quint3,-0.2277178547269599,0.06226098715240805,Pooled GEE,0.7963489142232153,0.7048647140520597,0.8997068239362247,Medical Complexity,VA CAN Score (ref: Q1): Quintile 3
CAN_quint4,-0.30824559475188384,0.06678764839007177,Pooled GEE,0.7347348488259359,0.644584480800041,0.8374934770524443,Medical Complexity,VA CAN Score (ref: Q1): Quintile 4
